id,State,match,year,Population,Violent_Crime_rate,MNMR,MNMR_rank,rape,rape_rank,robbery_rate,robbery_rate_rank,assault_rate,assault_rate_rank,property_crime_rate,property_crime_rate_rank,burglary_rate,burglary_rate_rank,larceny_theft_rate,larceny_theft_rate_rank,motor_vehicle_theft_rate,motor_vehicle_theft_rate_rank
SC,South Carolina,45,1977,2876000,636.2,11.9,7,33,14,105.9,27,485.3,1,4201.1,25,1613.6,11,2342.4,36,245.1,40
TX,Texas,48,1977,12830000,407.7,13.3,6,33.8,13,152.4,15,208.2,22,4989.4,16,1603.1,13,2988.7,16,397.6,17
AL,Alabama,1,1977,3690000,414.4,14.2,5,25.2,26,96.8,30,278.3,16,3298.2,44,1135.5,34,1881.9,43,280.7,34
MS,Mississippi,28,1977,2389000,288.7,14.3,4,19.6,34,65.7,38,189.1,28,2299.9,50,915.6,41,1239.9,51,144.4,51
LA,Louisiana,22,1977,3921000,524.8,15.5,3,30.9,16,142.9,17,335.5,8,3973.1,28,1165.5,32,2469.9,32,337.7,25
NV,Nevada,32,1977,633000,743,15.8,2,49.1,4,323.1,3,355,6,7225,2,2453.1,1,4212.6,2,559.2,8
DC,Columbia,9,1977,690000,1426.5,27.8,1,58.3,1,964.5,1,375.9,3,5793.9,8,1679.7,9,3716.8,6,397.4,18
ND,North Dakota,38,1978,652000,67,1.2,51,8.9,51,15.6,50,41.3,51,2338.3,49,423,51,1767.2,45,148.2,51
NH,New Hampshire,33,1978,871000,118.8,1.4,50,9.4,50,26.3,48,81.7,48,3948.7,32,1159.7,35,2483.4,34,305.6,34
SD,South Dakota,46,1978,690000,163.5,1.9,49,10.9,48,15.9,49,134.8,41,2525.8,48,599.7,50,1766.1,46,160,49
MN,Minnesota,27,1978,4008000,189.6,2,48,19.9,36,85.1,34,82.6,47,3954.5,31,1093.7,37,2536.1,30,324.7,31
WI,Wisconsin,55,1978,4679000,132.2,2.5,47,14.5,45,49.9,41,65.2,49,3748.1,38,846.3,44,2672.3,23,229.5,42
IA,Iowa,19,1978,2896000,161.4,2.6,46,10.4,49,46.9,43,101.6,45,3818.7,34,870.6,43,2712.9,21,235.1,41
ME,Maine,23,1978,1091000,207.7,2.7,45,11.1,46,32.9,47,161,37,3930.8,33,1241.2,29,2436.2,36,253.3,37
NE,Nebraska,31,1978,1565000,190.5,3,44,18.3,40,64.9,40,104.4,44,3250.7,44,746.8,48,2287.2,38,216.8,44
VT,Vermont,50,1978,487000,166.3,3.3,43,14.6,44,14.4,51,134.1,42,3640.2,40,1261.2,28,2164.9,40,214.2,45
MA,Massachusetts,25,1978,5774000,462,3.7,41,22.6,32,172.3,14,263.3,20,4888.5,18,1515.1,13,2277.8,39,1095.6,1
UT,Utah,49,1978,1307000,271.8,3.7,42,22.9,30,66.5,38,178.7,34,4707.1,20,1187.1,33,3186.1,13,333.9,29
RI,Rhode Island,44,1978,935000,348.1,4,40,11,47,98.2,29,235,22,4914.1,17,1392.6,19,2714.3,20,807.2,2
CT,Connecticut,10,1978,3099000,315,4.2,39,17.2,41,154.8,19,138.8,40,4614.5,22,1362,20,2597.6,26,654.9,6
WA,Washington,53,1978,3774000,405.3,4.6,38,41.2,9,125,24,234.4,23,5710.3,9,1766.6,8,3548.8,10,394.9,20
MT,Montana,30,1978,785000,237.6,4.8,37,15.8,42,36.8,46,180.1,33,3678.2,39,786,47,2585.1,27,307.1,33
OR,Oregon,41,1978,2444000,502.4,5,36,41.2,10,131.1,23,325,12,5573,11,1617.1,11,3561.1,9,394.8,21
ID,Idaho,16,1978,878000,236.4,5.4,34,19.2,37,40,45,171.9,35,3778.4,36,1038.4,38,2496.2,31,243.7,40
NJ,New Jersey,34,1978,7327000,423.5,5.4,35,23.6,27,192.6,9,201.9,28,4783.7,19,1456.3,16,2766.8,19,560.6,10
KS,Kansas,20,1978,2348000,318.2,5.7,33,25,26,93.7,31,193.8,31,4225.9,26,1286.8,26,2691.4,22,247.7,39
IN,Indiana,18,1978,5374000,323.5,6.2,31,27,23,121.4,25,168.8,36,4015.1,30,1108.3,36,2495.7,32,411.1,18
PA,Pennsylvania,42,1978,11750000,301.1,6.2,32,18.7,38,136.7,22,139.5,39,2883.6,46,899.9,41,1643,49,340.7,28
DE,Delaware,11,1978,583000,440.7,6.7,29,20.4,35,145.5,21,268.1,18,5913.2,8,1623.7,10,3792.6,7,496.9,12
HI,Hawaii,15,1978,897000,270.1,6.7,30,25.9,24,173.6,13,64,50,6866,3,1937.7,5,4357.5,2,570.8,9
WV,West Virginia,54,1978,1860000,167.7,6.8,28,14.7,43,46.3,44,99.9,46,2102.4,51,648.3,49,1278.3,50,175.8,48
OH,Ohio,39,1978,10749000,412.7,6.9,27,27.4,22,182.6,11,195.8,30,4246.2,25,1214.5,31,2629.7,24,402,19
WY,Wyoming,56,1978,424000,280.4,7.1,26,23.6,28,48.1,42,201.7,29,4214.2,27,836.1,46,3035.6,16,342.5,27
CO,Colorado,8,1978,2670000,498,7.3,25,49.6,5,159.2,18,281.9,16,6334.5,5,1869.6,6,3977,4,487.9,13
MD,Maryland,24,1978,4143000,732,8.2,24,35.6,14,309.6,4,378.6,3,5081.6,13,1421.8,18,3235,12,424.8,17
OK,Oklahoma,40,1978,2880000,353,8.5,23,31,17,88.3,33,225.2,25,3776.9,37,1299.8,25,2125.8,41,351.4,26
VA,Virginia,51,1978,5148000,286.4,8.8,22,22.7,31,97.1,30,157.8,38,3786.6,35,990.8,39,2566.8,29,229,43
KY,Kentucky,21,1978,3498000,223.2,9,21,20.7,34,81.3,35,112.1,43,2799.9,47,884.6,42,1664.7,48,250.6,38
AR,Arkansas,5,1978,2186000,344.1,9.1,20,23.1,29,80,36,231.9,24,3117.6,45,967.1,40,1950.9,44,199.6,47
AZ,Arizona,4,1978,2354000,552.1,9.4,18,44.2,7,162.9,17,335.6,10,7051.7,2,2082.5,3,4504.8,1,464.4,15
TN,Tennessee,47,1978,4357000,382.6,9.4,19,30.6,18,152.4,20,190.2,32,3307.8,43,1213.6,32,1766.1,47,328.1,30
IL,Illinois,17,1978,11243000,676.7,9.9,17,28,20,292.9,6,345.9,9,4943.1,16,1350.7,21,2969.9,18,622.5,7
NM,New Mexico,35,1978,1212000,528.2,10.2,16,42.7,8,111.6,26,363.8,6,4652.1,21,1335.6,24,3002.7,17,313.8,32
NY,New York,36,1978,17748000,841,10.3,15,29.1,19,472.1,2,329.5,11,4951.2,15,1650.6,9,2628.6,25,672,4
MO,Missouri,29,1978,4860000,467.9,10.4,14,28,21,184,10,245.5,21,4059.5,29,1345.2,22,2345.5,37,368.8,23
MI,Michigan,26,1978,9189000,577.2,10.6,13,39.6,11,219.3,7,307.7,14,5016.9,14,1444.3,17,3046.7,15,525.9,11
NC,North Carolina,37,1978,5577000,413.4,10.8,12,18.4,39,65.9,39,318.4,13,3468.7,42,1184,34,2083.4,42,201.3,46
FL,Florida,12,1978,8594000,765.6,11,11,46.1,6,206,8,502.5,1,6303.9,6,1978.8,4,3936.5,5,388.6,22
SC,South Carolina,45,1978,2918000,637.6,11.5,10,35.4,15,101.3,27,489.4,2,4258.4,24,1498.6,14,2483.6,33,276.1,36
CA,California,6,1978,22294000,742.9,11.7,9,50.8,4,306.1,5,374.4,5,6373.3,4,2193.3,2,3488.8,11,691.3,3
MS,Mississippi,28,1978,2404000,321.2,12.6,8,21.8,33,70.2,37,216.6,27,2233.7,50,846.3,45,1235.6,51,151.8,50
AK,Alaska,2,1978,403000,441.9,12.9,7,55.6,2,91.3,32,282.1,15,5604.2,10,1339.2,23,3603.5,8,661.5,5
AL,Alabama,1,1978,3742000,419.1,13.3,6,25.5,25,99.1,28,281.2,17,3519.7,41,1229.3,30,1987.9,43,302.5,35
TX,Texas,48,1978,13014000,435.3,14.2,5,37.9,12,164.4,16,218.8,26,5121.5,12,1611.9,12,3065.3,14,444.3,16
GA,Georgia,13,1978,5084000,482.8,14.4,4,37.9,13,166.3,15,264.2,19,4288.5,23,1475.6,15,2456.3,35,356.5,25
NV,Nevada,32,1978,660000,780.8,15.5,3,53.9,3,359.5,3,351.8,8,7506.1,1,2659.2,1,4245.2,3,601.7,8
LA,Louisiana,22,1978,3966000,584.9,15.8,2,34.8,16,173.7,12,360.7,7,4207.4,28,1275.5,27,2570.3,28,361.6,24
DC,Columbia,9,1978,674000,1411.7,28,1,66.3,1,939.6,1,377.7,4,6147.6,7,1854.2,7,3819.6,6,473.9,14
VT,Vermont,50,1979,493000,184.2,1.4,51,22.9,35,28.6,48,131.2,41,5115,23,1577.9,15,3200,17,337.1,31
ND,North Dakota,38,1979,657000,61.3,1.5,50,8.2,51,9.9,51,41.7,51,2694.5,49,461,51,2071.1,45,162.4,51
SD,South Dakota,46,1979,689000,159.1,2,49,16.4,45,20.3,50,120.3,44,2800.7,48,626.4,50,2000.3,46,174,49
IA,Iowa,19,1979,2903000,181.2,2.2,48,11,50,50.2,42,117.7,45,4120.6,37,922.1,44,2928.8,27,269.7,41
MN,Minnesota,27,1979,4060000,221,2.3,47,21.5,38,92.5,34,104.8,46,4171.8,36,1112.9,37,2729.7,33,329.2,33
NH,New Hampshire,33,1979,887000,139.9,2.4,46,17.1,44,28.6,49,91.8,48,4438.9,29,1199,33,2915,28,324.9,34
ME,Maine,23,1979,1097000,202.5,2.8,45,11.9,49,31.8,47,155.9,38,4104.8,38,1147.9,36,2719.1,34,237.9,45
RI,Rhode Island,44,1979,929000,375.1,3.2,44,15.2,48,109.7,28,247,27,5394.4,15,1550.1,16,3051.3,22,793,2
WI,Wisconsin,55,1979,4720000,166.1,3.4,43,16.1,46,60.5,41,86.1,49,4221.9,35,949.3,42,3005.9,24,266.7,42
MA,Massachusetts,25,1979,5769000,531.3,3.7,42,24.8,33,203.2,13,299.6,17,5386.7,16,1604.6,12,2637.1,37,1144.9,1
NE,Nebraska,31,1979,1574000,225.9,4.1,41,21.5,39,73.5,39,126.8,42,3767.2,43,813.5,47,2680.7,35,272.9,39
CT,Connecticut,10,1979,3115000,414.2,4.2,38,24.1,34,193.3,15,192.6,35,5365.4,17,1548.3,17,3113.9,20,703.2,7
MT,Montana,30,1979,786000,224.2,4.2,39,20.6,40,33.1,46,166.3,36,4236.4,34,803.3,48,3121.8,19,311.3,36
OR,Oregon,41,1979,2527000,545.4,4.2,40,44.4,12,130.6,23,366.2,10,5827.6,10,1609.9,11,3831.5,9,386.2,27
UT,Utah,49,1979,1367000,304.2,4.8,36,27.9,25,77.7,36,193.8,34,5187.9,22,1178.9,34,3673.4,12,335.6,32
WA,Washington,53,1979,3926000,434.6,4.8,37,46.4,8,120.7,26,262.8,23,6094.9,8,1783.6,9,3876.8,8,434.5,19
ID,Idaho,16,1979,905000,288.7,5.4,35,20.6,41,43.3,44,219.4,29,3952,40,1075,39,2605.2,38,271.8,40
KS,Kansas,20,1979,2369000,353.6,5.5,34,26.4,32,102.3,33,219.4,30,4542.2,27,1329.8,28,2938.9,26,273.5,38
DE,Delaware,11,1979,582000,537.3,5.7,33,27.8,26,129.4,24,374.4,9,5988.5,9,1527.5,18,3965.8,7,495.2,14
CO,Colorado,8,1979,2772000,522.1,5.8,32,53.1,5,157,20,306.1,16,6529,7,1794.4,7,4253.2,6,481.4,17
PA,Pennsylvania,42,1979,11731000,333.6,6.2,31,21.6,37,152.2,21,153.6,40,3161.8,46,934.9,43,1837.6,48,389.4,26
NJ,New Jersey,34,1979,7332000,501.2,6.6,30,27.8,27,250,7,216.8,32,5319.4,18,1601.5,13,3021.7,23,696.2,8
WV,West Virginia,54,1979,1878000,168.1,6.8,29,15.5,47,43.9,43,101.8,47,2157.2,51,636.8,49,1318.2,51,202.3,47
HI,Hawaii,15,1979,915000,289.7,7.2,28,32.3,21,184.5,17,65.7,50,6957.8,4,1807.4,6,4435,3,715.4,4
OH,Ohio,39,1979,10731000,457.5,8.1,27,31.8,22,194.8,14,222.8,28,4672.3,26,1287.2,32,2946.2,25,438.9,18
IN,Indiana,18,1979,5400000,338,8.3,26,31.1,23,132.7,22,165.9,37,4263.4,33,1169.9,35,2660.5,36,433,20
VA,Virginia,51,1979,5197000,301,8.6,25,27.1,31,111.6,27,153.7,39,4060.3,39,1082.6,38,2730.9,32,246.8,44
AZ,Arizona,4,1979,2450000,593,8.9,24,45.7,9,175.7,18,362.6,11,7264.4,2,1996.6,5,4774.5,1,493.3,15
AR,Arkansas,5,1979,2180000,366.2,9.1,21,27.3,30,74.6,38,255.3,25,3254.5,45,984.3,40,2076.5,44,193.8,48
MI,Michigan,26,1979,9208000,614.2,9.1,22,44.5,11,219.6,9,341.1,14,5532.8,12,1507.5,20,3423.2,14,602.1,11
WY,Wyoming,56,1979,450000,350.9,9.1,23,27.6,28,42.2,45,272,20,4473.1,28,863.8,46,3246,16,363.3,29
KY,Kentucky,21,1979,3527000,248,9.5,20,20.4,42,92.1,35,126.1,43,2935.9,47,909.6,45,1770.1,49,256.2,43
OK,Oklahoma,40,1979,2892000,405.2,9.7,19,33,19,102.6,32,260,24,4297.8,32,1474.6,23,2396,42,427.2,22
MD,Maryland,24,1979,4149000,795.5,9.8,17,39.4,14,331.2,5,415.2,4,5499.1,13,1509.5,19,3502,13,487.6,16
TN,Tennessee,47,1979,4380000,414,9.8,18,34.5,16,166.1,19,203.6,33,3599.3,44,1294.7,30,1937.2,47,367.4,28
IL,Illinois,17,1979,11230000,743.9,10.7,15,33,20,321.1,6,379.2,8,5287.2,20,1440.6,25,3170.6,18,676,9
NC,North Carolina,37,1979,5606000,446.1,10.7,16,20.3,43,77.2,37,337.9,15,3926.4,41,1296.6,29,2406.4,41,223.4,46
MO,Missouri,29,1979,4868000,527.2,11.2,14,33.6,18,210.9,12,271.4,21,4412.7,30,1446.7,24,2555.4,40,410.6,24
NY,New York,36,1979,17649000,917.4,11.9,13,30.6,24,529.6,2,345.3,13,5287.7,19,1746.9,10,2836.4,31,704.5,5
FL,Florida,12,1979,8860000,833.9,12.2,12,51.6,6,249.4,8,520.6,2,6854.2,5,2154.4,3,4267.5,5,432.3,21
NM,New Mexico,35,1979,1241000,586,12.4,11,46.9,7,121,25,405.6,6,5202.5,21,1481.5,22,3363.8,15,357.2,30
MS,Mississippi,28,1979,2406000,323.6,12.6,9,21.7,36,70.7,40,218.6,31,2637,50,973.7,41,1496.5,50,166.8,50
SC,South Carolina,45,1979,2932000,678.3,12.6,10,34.3,17,107.6,31,523.8,1,4387.8,31,1506.1,21,2585.5,39,296.2,37
CA,California,6,1979,22696000,811.1,13,8,53.9,4,333.8,4,410.3,5,6657.7,6,2186.8,2,3732.6,10,738.3,3
AL,Alabama,1,1979,3769000,413.3,13.2,7,27.5,29,109.5,30,263.1,22,3830.5,42,1287.3,31,2223.2,43,320.1,35
AK,Alaska,2,1979,406000,491.1,13.3,6,71.9,2,109.6,29,296.3,18,5712.6,11,1383.3,27,3713.3,11,616,10
TX,Texas,48,1979,13385000,507.9,16.7,5,45.1,10,191.8,16,254.3,26,5417.3,14,1791.2,8,3081.9,21,544.2,13
LA,Louisiana,22,1979,4026000,676.3,16.9,4,38.6,15,219.4,10,401.4,7,4682.4,25,1396.8,26,2877.7,29,407.9,25
GA,Georgia,13,1979,5118000,558.7,17.1,3,43.3,13,213.7,11,284.5,19,4858.2,24,1594,14,2847.9,30,416.3,23
NV,Nevada,32,1979,702000,835.6,17.5,2,59.5,3,407.5,3,351,12,7996,1,2820.4,1,4471.2,2,704.4,6
DC,Columbia,9,1979,656000,1608.7,27.4,1,74.5,1,1054.9,1,451.8,3,6993.4,3,2050.6,4,4393.1,4,549.7,12
SD,South Dakota,46,1980,688217,126.8,0.7,51,12.5,50,20.1,50,93.6,49,3116.3,48,692.5,50,2255.2,44,168.6,51
ND,North Dakota,38,1980,652437,54,1.2,50,9.5,51,7.7,51,35.6,51,2909.7,50,488.3,51,2242.2,45,179.2,49
IA,Iowa,19,1980,2907804,200.4,2.2,48,14.3,48,54.9,42,129,42,4546.4,36,1079.5,42,3219.1,20,247.8,40
VT,Vermont,50,1980,511299,178.8,2.2,49,29.1,28,38.9,47,108.5,46,4809.7,27,1526.7,24,2988.1,29,294.9,37
NH,New Hampshire,33,1980,919114,179.8,2.5,47,17.3,44,42,46,118,43,4499.8,37,1312.9,34,2877,35,309.9,34
MN,Minnesota,27,1980,4061235,227.8,2.6,46,23.2,36,99.1,33,102.9,47,4571.7,34,1246,36,3029.9,27,295.9,36
ME,Maine,23,1980,1123670,193.4,2.8,45,12.9,49,30.8,49,146.8,40,4174.2,42,1182.8,39,2772.3,39,219.1,45
WI,Wisconsin,55,1980,4680917,182.6,2.9,44,14.9,47,70.7,41,94.1,48,4616,32,1079.4,43,3291.4,18,245.2,41
ID,Idaho,16,1980,943629,313.4,3.1,43,22.4,40,46.8,44,241.1,28,4468.8,39,1238.9,37,2993,28,236.9,43
UT,Utah,49,1980,1458729,303.3,3.8,42,27.7,30,80.2,40,191.7,35,5577.3,16,1321.9,32,3931.8,10,323.6,31
MT,Montana,30,1980,781592,222.6,4,41,21,42,34,48,163.6,37,4801.9,28,950.6,46,3529.6,14,321.7,32
MA,Massachusetts,25,1980,5728288,601.3,4.1,40,27.3,32,235.5,10,334.4,14,5477.8,18,1740.4,14,2685.8,40,1051.6,1
NE,Nebraska,31,1980,1563921,224.6,4.4,38,23.2,37,82.2,36,114.7,44,4080.6,43,915.4,47,2921.6,32,243.6,42
RI,Rhode Island,44,1980,945835,408.5,4.4,39,17.1,45,118.6,29,268.3,26,5524.1,17,1716.3,15,2964.3,31,843.6,2
CT,Connecticut,10,1980,3095224,412.5,4.7,37,21.6,41,218,13,168.1,36,5469.2,19,1700.6,16,3089.6,24,678.9,6
OR,Oregon,41,1980,2610477,490.4,5.1,36,41.5,14,152.4,22,291.4,19,6196.5,10,1748.4,12,4087.8,9,360.3,28
WA,Washington,53,1980,4113331,464.3,5.5,35,52.7,6,135.1,25,271,24,6450.7,8,1862.2,9,4192.9,8,395.6,24
WY,Wyoming,56,1980,468954,392.6,6.2,34,28.6,29,44.4,45,313.5,15,4593.8,33,903.7,48,3344.9,17,345.2,30
PA,Pennsylvania,42,1980,11824220,363.9,6.8,33,23,38,177.9,20,156.1,38,3372.4,46,1038.5,45,1915.5,48,418.3,22
CO,Colorado,8,1980,2878407,528.6,6.9,29,52.5,7,160.1,21,309.2,16,6804.9,7,2030.8,7,4325.8,6,448.3,18
DE,Delaware,11,1980,594779,474.8,6.9,30,24.2,35,137,24,306.7,17,6301.8,9,1630.5,22,4216.2,7,455.1,16
KS,Kansas,20,1980,2354783,389.3,6.9,31,31.5,24,113.1,31,237.8,29,4989.5,24,1521.4,27,3196.4,21,271.7,38
NJ,New Jersey,34,1980,7342164,604.4,6.9,32,30.7,26,303.7,8,263,27,5797,13,1878.2,8,3189.3,22,729.5,5
WV,West Virginia,54,1980,1930787,183.7,7.1,28,15.8,46,48.5,43,112.2,45,2367.9,51,738.5,49,1429.8,51,199.7,47
OH,Ohio,39,1980,10766808,498.3,8.1,27,34.3,21,223.7,11,232.2,30,4933.1,25,1466.3,30,3040.1,26,426.7,20
VA,Virginia,51,1980,5323412,307.2,8.6,26,27.4,31,120.1,28,151.1,39,4312.8,40,1202.6,38,2882.3,34,227.9,44
HI,Hawaii,15,1980,964680,299.5,8.7,25,34.7,20,190.2,18,65.8,50,7182.8,5,1847.5,11,4723.2,3,612.1,9
KY,Kentucky,21,1980,3641479,266.7,8.8,24,19.2,43,95.2,34,143.5,41,3167.1,47,1040.8,44,1875.5,49,250.7,39
AK,Alaska,2,1980,440142,436,8.9,22,56.8,5,81.8,37,288.5,20,5209.7,22,1259.8,35,3388.9,16,561,12
IN,Indiana,18,1980,5461103,377.8,8.9,23,33.1,22,141.4,23,194.5,34,4552.5,35,1313.3,33,2807.1,36,432.2,19
AR,Arkansas,5,1980,2284037,335.2,9.2,21,26.7,33,80.9,39,218.4,33,3475.9,45,1119,41,2169.8,47,187.1,48
MD,Maryland,24,1980,4192211,852.4,9.5,20,40.1,15,392.7,4,410.1,6,5777.7,14,1698,18,3629.2,13,450.5,17
OK,Oklahoma,40,1980,3001252,419.5,10,19,36.3,18,104.9,32,268.4,25,4633.4,31,1692.7,19,2520.6,43,420.2,21
MI,Michigan,26,1980,9228128,639.5,10.2,18,46.6,9,244,9,338.6,13,6036.4,11,1741.3,13,3710.2,12,584.9,10
AZ,Arizona,4,1980,2715357,650.9,10.3,17,45.2,10,193.6,17,401.8,8,7519.9,3,2155.4,5,4891.2,1,473.3,15
IL,Illinois,17,1980,11355062,808,10.6,15,34.8,19,367,6,395.6,9,5461.1,20,1559.6,23,3252.5,19,649,8
NC,North Carolina,37,1980,5843665,455,10.6,16,22.7,39,82.3,35,339.4,12,4185.5,41,1422.9,31,2546.4,42,216.1,46
TN,Tennessee,47,1980,4545590,458.1,10.8,14,37.4,17,180.6,19,229.4,31,4039.8,44,1501.5,28,2175.2,46,363.1,27
MO,Missouri,29,1980,4901288,554.5,11.1,13,32.6,23,223.6,12,287.2,21,4878.6,26,1668.9,21,2795.1,38,414.6,23
SC,South Carolina,45,1980,3064557,660,11.4,12,37.5,16,118.1,30,493,3,4779.2,30,1670,20,2803.2,37,306,35
NY,New York,36,1980,17506690,1029.5,12.7,11,30.9,25,641.3,2,344.6,11,5882,12,2061.6,6,3060.4,25,759.9,3
NM,New Mexico,35,1980,1295474,615,13.1,10,43.3,13,127.9,27,430.7,5,5364.1,21,1492.5,29,3521,15,350.6,29
AL,Alabama,1,1980,3861466,448.5,13.2,9,30,27,132.1,26,273.2,23,4485.1,38,1526.7,25,2642.2,41,316.2,33
GA,Georgia,13,1980,5400851,555.3,13.8,8,44.3,12,197.6,15,299.7,18,5048.3,23,1699.2,17,2976.6,30,372.4,26
CA,California,6,1980,23532680,893.6,14.5,5,58.2,3,384.2,5,436.7,4,6939.5,6,2316.5,4,3880,11,742.9,4
FL,Florida,12,1980,9567112,983.5,14.5,6,56.9,4,355.5,7,556.6,1,7418.4,4,2506.8,3,4434.2,4,477.5,14
MS,Mississippi,28,1980,2511491,341.9,14.5,7,24.6,34,81,38,221.7,32,3075.2,49,1179.1,40,1717.8,50,178.4,50
LA,Louisiana,22,1980,4199542,665,15.7,4,44.5,11,197,16,407.8,7,4788.8,29,1523.9,26,2888.4,33,376.5,25
TX,Texas,48,1980,14169829,550.3,16.9,3,47.3,8,208.5,14,277.6,22,5592.7,15,1853.2,10,3181.4,23,558.1,13
NV,Nevada,32,1980,800312,912.6,20,2,67.2,2,460.6,3,364.9,10,7941.4,2,2906.7,1,4356.3,5,678.4,7
DC,Columbia,9,1980,635233,2010.6,31.5,1,69.1,1,1400.6,1,509.4,2,8012.2,1,2559.7,2,4890.8,2,561.7,11
SD,South Dakota,46,1981,685000,104.8,1.8,51,11.5,50,17.8,50,73.7,48,2908.3,50,634.7,50,2129.5,47,144.1,51
MN,Minnesota,27,1981,4090000,228.5,2.1,50,25.8,35,104.3,34,96.3,45,4508.2,34,1277.6,33,2978.8,30,251.8,37
ND,North Dakota,38,1981,658000,67.5,2.3,49,8.7,51,12.9,51,43.6,51,2923.6,49,500.6,51,2258.2,44,164.7,50
IA,Iowa,19,1981,2897000,204.2,2.6,48,13.4,48,53.6,42,134.5,42,4512.4,33,1067.5,43,3221.7,20,223.2,40
NH,New Hampshire,33,1981,935000,147.1,2.9,47,16.5,45,35.8,47,91.9,46,4174.8,40,1186.1,36,2747.8,37,240.9,38
NE,Nebraska,31,1981,1576000,181.5,3.1,46,20.5,43,70.7,40,87.2,47,3996,43,912.6,48,2875.9,32,207.5,43
ME,Maine,23,1981,1132000,195.6,3.2,45,12.8,49,32.5,48,147.1,41,4047.7,42,1243.9,35,2610,40,193.8,46
UT,Utah,49,1981,1516000,298.6,3.3,44,28.4,29,84.8,36,182.1,35,5451.4,18,1274.8,34,3882.3,11,294.3,30
MT,Montana,30,1981,792000,253,3.4,42,22.1,39,38.1,45,189.4,33,4765.9,28,966,46,3519.4,16,280.4,34
WI,Wisconsin,55,1981,4739000,187.9,3.4,43,15.7,46,68.6,41,100.2,44,4579,32,1072.2,42,3289.6,18,217.2,41
MA,Massachusetts,25,1981,5770000,628.6,3.6,41,27.4,31,270.9,9,326.7,16,5206.7,22,1647.8,18,2559.6,41,999.3,1
RI,Rhode Island,44,1981,952000,441.7,4.2,40,17.9,44,132,26,287.6,21,5410.1,19,1654.9,17,2891.3,31,863.9,2
VT,Vermont,50,1981,515000,128,4.3,39,33,21,27.6,49,63.1,49,4932.8,26,1559.8,24,3079.6,25,293.4,31
OR,Oregon,41,1981,2647000,478.7,4.4,38,41.7,12,180.6,18,251.9,27,6558.2,7,1967,8,4250.8,5,340.4,25
ID,Idaho,16,1981,959000,283.3,4.5,37,20.6,42,37.7,46,220.4,30,4247.4,38,1173.6,37,2859.5,33,214.3,42
HI,Hawaii,15,1981,979000,247.6,4.8,36,34.7,20,148.4,22,59.7,50,6295.8,8,1708.5,13,4157.2,7,430.1,15
WA,Washington,53,1981,4212000,447.3,5.1,35,50.2,6,130,27,262,25,6294.8,9,1892.1,9,4083.4,9,319.2,29
CT,Connecticut,10,1981,3132000,448.1,5.4,34,21.9,40,246.1,11,174.6,37,5389.2,20,1691.9,14,3094.7,23,602.6,9
WY,Wyoming,56,1981,492000,430.1,5.5,33,35.4,18,41.9,44,347.4,12,4701.8,29,961,47,3449.6,17,291.3,32
WV,West Virginia,54,1981,1951000,174.8,6,32,14.8,47,50.2,43,103.7,43,2443.9,51,775.1,49,1480.5,51,188.4,47
PA,Pennsylvania,42,1981,11864000,371.7,6.1,31,22.4,38,186.6,17,156.6,39,3311.5,46,1031.5,45,1910.8,49,369.2,22
KS,Kansas,20,1981,2381000,369.4,6.3,30,30.8,26,109.7,33,222.6,28,5034.9,24,1544.2,25,3235.6,19,255.1,36
DE,Delaware,11,1981,598000,509,6.7,29,28.4,30,141.1,23,332.8,14,6180.3,11,1609.9,20,4140.3,8,430.1,16
IN,Indiana,18,1981,5466000,341.6,7.1,28,29.6,28,129,28,176,36,4198.2,39,1168.8,39,2690,39,339.3,26
NJ,New Jersey,34,1981,7401000,630.6,7.3,27,32.1,23,334.6,8,256.7,26,5549.2,15,1733.2,12,3132.6,22,683.3,5
OH,Ohio,39,1981,10776000,496.6,7.4,26,31,25,236.9,12,221.3,29,4950.8,25,1493.6,27,3032.4,28,424.8,17
AZ,Arizona,4,1981,2793000,575.8,8.1,24,38.1,15,177.6,19,352,11,7038.1,4,2064.3,5,4563.9,2,410,20
CO,Colorado,8,1981,2963000,531.7,8.1,25,45.6,10,159.5,21,318.5,18,6821.4,5,2031.6,6,4375.9,3,413.9,19
KY,Kentucky,21,1981,3661000,289.5,8.4,23,20.9,41,100.7,35,159.5,38,3242,47,1062.4,44,1944.7,48,235,39
VA,Virginia,51,1981,5426000,321.7,8.6,22,27.2,32,133.2,25,152.7,40,4349.1,37,1167.5,40,2979.7,29,201.9,44
OK,Oklahoma,40,1981,3098000,426.8,9,21,35.2,19,115.4,31,267.2,24,4410.5,36,1588.8,22,2403.5,43,418.2,18
AR,Arkansas,5,1981,2294000,310.3,9.1,19,25.2,36,77.4,39,198.6,31,3486.1,45,1078.1,41,2221.4,45,186.6,48
NC,North Carolina,37,1981,5951000,436.7,9.1,20,22.7,37,80.8,38,324.1,17,4083.5,41,1336.7,31,2548.8,42,198.1,45
MI,Michigan,26,1981,9201000,641.9,9.4,18,47.5,7,257.5,10,327.6,15,6212.2,10,1862.1,11,3714.9,13,635.2,7
TN,Tennessee,47,1981,4610000,412.6,9.7,17,37.6,16,171.7,20,193.5,32,3898.9,44,1384.2,30,2180.6,46,334.1,28
MD,Maryland,24,1981,4261000,887.1,9.9,16,38.8,14,424.4,4,414,5,5670.6,14,1660.2,16,3576.7,14,433.7,14
